Model,MAE_Log,RMSE_Log,R2_Log,MAE_Price,RMSE_Price,R2_Price
Ridge Regression,0.7256265519908383,1.0002742389883321,0.5286039799411648,712269.2486753982,5649337.695784751,0.24072930564506734
XGBoost,0.739663489272076,1.009753340439825,0.519627275401892,739946.7198826883,6287775.261725746,0.0594203307666209
Random Forest,0.7725479384404059,1.0559190207979547,0.4746981026663497,755047.8471182797,6424319.74456669,0.018125769848739925
